TARIFAS DEL ISR SEMANAL,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
LIMITE  INFERIOR,LIMITE SUPERIOR,CUOTA FIJA,POR CIENTO PARA LIMITE INFERIOR
$,$,$,%
0.01,171.78,0,1.92
171.79,1458.03,3.29,6.4
1458.04,2562.35,85.61,10.88
2562.36,2978.64,205.8,16
2978.65,3566.22,272.37,17.92
3566.23,7192.64,377.65,21.36
7192.65,11336.57,1152.27,23.52
11336.58,21643.3,2126.95,30
21643.31,28857.78,5218.92,32
28857.79,86573.34,7527.59,34
86573.35,En adelante,27150.83,35
,,,
,,,
TARIFAS DEL ISR QUINCENALES,,,
,,,
Limite Inferior,Límite superior,Cuota fija,Por ciento para Limite Inferior
$,$,$,%
0.01,368.1,0,1.92
368.11,3124.35,7.05,6.4
3124.36,5490.75,183.45,10.88
5490.76,6382.8,441,16
6382.81,7641.9,583.65,17.92
7641.91,15412.8,809.25,21.36
15412.81,24292.65,2469.15,23.52
24292.66,46378.5,4557.75,30
46378.51,61838.1,11183.4,32
61838.11,185514.3,16130.55,34
185514.31,En adelante,58180.35,35
,,,
,,,
TARIFAS DEL ISR MENSUALES,,,
,,,
Límite inferior,Límite superior,Cuota fija,Por ciento para Limite Inferior
$,$,$,%
0.01,746.04,0,1.92
746.05,6332.05,14.32,6.4
6332.06,11128.01,371.83,10.88
11128.02,12935.82,893.63,16
12935.83,15487.71,1182.88,17.92
15487.72,31236.49,1640.18,21.36
31236.5,49233,5004.12,23.52
49233.01,93993.9,9236.89,30
93993.91,125325.2,22665.17,32
125325.21,375975.61,32691.18,34
375975.62,En adelante,117912.32,35
